,SUCEPTIBLE HOST,INFECTED HOST,SUCEPTIBLE VECTOR 1,SUCEPTIBLE VECTOR 2,SUCEPTIBLE VECTOR 3,SUCEPTIBLE VECTOR 4,SUCEPTIBLE VECTOR 5,SUCEPTIBLE VECTOR 6,INFECTED VECTOR 1,INFECTED VECTOR 2,INFECTED VECTOR 3,INFECTED VECTOR 4,INFECTED VECTOR 5,INFECTED VECTOR 6
349,1002.853666419286,65.75600296856787,6197.114581410379,7185.61820196273,8304.573355588964,9560.427985295513,0.0,0.0,2044.839985284946,2149.763647261681,2168.540269352925,2044.5412165578093,0.0,0.0
350,1002.8602446500851,65.6770641989803,6191.011233943385,7181.143162638783,8302.285958617713,9560.92884694115,0.0,0.0,2042.7599466173385,2148.718702715463,2168.5826949652965,2045.4784890461221,0.0,0.0
351,1002.8668149838492,65.59822019381058,6184.923593462435,7176.680294479387,8300.007818235235,9561.436849702088,0.0,0.0,2040.6725442603774,2147.664186957399,2168.6153393582445,2046.4081178329916,0.0,0.0
352,1002.8733774300587,65.51947083929588,6178.851601076929,7172.229553264784,8297.738903525971,9561.951975430891,0.0,0.0,2038.5778664299798,2146.600173106846,2168.6382528769664,2047.3301285546904,0.0,0.0
353,1002.8799319981825,65.44081602180997,6172.795198182391,7167.790894975912,8295.479183697857,9562.474206038465,0.0,0.0,2036.476000706657,2145.526733867194,2168.6514856466456,2048.244546765787,0.0,0.0
354,1002.8864786976782,65.36225562786302,6166.754326458692,7163.364275793315,8293.22862808175,9563.003523493851,0.0,0.0,2034.3670340400568,2144.4439415282563,2168.655087573452,2049.1513979394344,0.0,0.0
355,1002.8930175379917,65.28378954410144,6160.728927891114,7158.949652106368,8290.987206134536,9563.539909824885,0.0,0.0,2032.2510526957958,2143.3518679477397,2168.6491083396404,2050.050707466546,0.0,0.0
356,1002.8995485285577,65.20541765730788,6154.718944808596,7154.546980530258,8288.754887444991,9564.083347119526,0.0,0.0,2030.1281421589097,2142.2505845169967,2168.6335973942096,2050.9425006541346,0.0,0.0
357,1002.9060716788,65.12713985440072,6148.724319761444,7150.1562178504655,8286.531641713875,9564.63381752102,0.0,0.0,2027.9983874428292,2141.1401622737194,2168.608603985024,2051.8268027314607,0.0,0.0
358,1002.9125869981306,65.04895602243418,6142.744995573884,7145.77732104621,8284.317438762091,9565.191303229787,0.0,0.0,2025.861872956687,2140.0206718545887,2168.574177145772,2052.7036388476745,0.0,0.0
